deliveryScheduling,deliveryFee,address,state,city,zip
1,3.99,30 N MICHIGAN AVE,IL,CHICAGO,60602
1,3.99,122 S. MICHIGAN AVE,IL,CHICAGO,60603
1,3.99,2 N STATE ST #1,IL,CHICAGO,60602
1,3.99,151 N STATE ST,IL,CHICAGO,60601
1,3.99,79 W MONROE ST,IL,CHICAGO,60603
1,3.99,100 W RANDOLPH ST,IL,CHICAGO,60601
1,3.99,201 W MADISON ST,IL,CHICAGO,60606
1,3.99,410 N MICHIGAN AVE,IL,CHICAGO,60611
1,3.99,200 W ADAMS ST,IL,CHICAGO,60606
1,3.99,342 E ILLINOIS ST,IL,CHICAGO,60611
1,3.99,250 S WACKER DR,IL,CHICAGO,60606
0,0.0,259 E ERIE ST,IL,CHICAGO,60611
0,0.0,201 E HURON ST,IL,CHICAGO,60611
0,5.99,433 W VAN BUREN ST,IL,CHICAGO,60607
1,3.99,641 N CLARK ST,IL,CHICAGO,60654
0,3.99,680 N LAKE SHORE DR,IL,CHICAGO,60611
0,0.0,225 E CHICAGO AVE,IL,CHICAGO,60611
1,3.99,2 E ROOSEVELT RD,IL,CHICAGO,60605
1,3.99,757 N MICHIGAN AVE,IL,CHICAGO,60611
1,3.99,315 W CHICAGO AVE,IL,CHICAGO,60654
1,3.99,111 S HALSTED ST,IL,CHICAGO,60661
1,3.99,933 N STATE ST,IL,CHICAGO,60610
1,3.99,501 W ROOSEVELT RD,IL,CHICAGO,60607
1,3.99,1200 N DEARBORN ST,IL,CHICAGO,60610
1,3.99,1051 W RANDOLPH,IL,CHICAGO,60607
1,3.99,316 W CERMAK RD,IL,CHICAGO,60616
1,3.99,1601 N WELLS ST,IL,CHICAGO,60614
0,0.0,711 W NORTH AVE,IL,CHICAGO,60610
1,3.99,1650 W CHICAGO AVE,IL,CHICAGO,60622
1,3.99,834 W ARMITAGE AVE,IL,CHICAGO,60614
1,3.99,1372 N MILWAUKEE AVE,IL,CHICAGO,60622
1,3.99,3000 S HALSTED ST,IL,CHICAGO,60608
1,3.99,2340 W MADISON ST,IL,CHICAGO,60612
1,3.99,2500 N CLARK ST,IL,CHICAGO,60614
1,3.99,1931 W CERMAK RD,IL,CHICAGO,60608
1,3.99,3405 S KING DR,IL,CHICAGO,60616
1,3.99,1601 N MILWAUKEE AVE,IL,CHICAGO,60647
1,3.99,1520 W FULLERTON AVE,IL,CHICAGO,60614
1,3.99,740 W DIVERSEY PKWY,IL,CHICAGO,60614
1,3.99,2440 W NORTH AVE,IL,CHICAGO,60647
0,0.0,2835 N SHEFFIELD AVE,IL,CHICAGO,60657
1,3.99,3046 N HALSTED ST,IL,CHICAGO,60657
1,3.99,2001 N MILWAUKEE AVE,IL,CHICAGO,60647
1,3.99,3201 N BROADWAY ST,IL,CHICAGO,60657
0,0.0,912 W BELMONT AVE,IL,CHICAGO,60657
0,0.0,3245 N HALSTED ST,IL,CHICAGO,60657
1,3.99,1926 W 35TH ST,IL,CHICAGO,60609
0,0.0,1333 W BELMONT AVE,IL,CHICAGO,60657
1,3.99,1649 W BELMONT AVE,IL,CHICAGO,60657
1,3.99,3401 W ROOSEVELT RD,IL,CHICAGO,60624
1,3.99,3646 N BROADWAY ST,IL,CHICAGO,60613
1,3.99,3045 W 26TH ST,IL,CHICAGO,60623
1,3.99,3110 W ARMITAGE AVE,IL,CHICAGO,60647
0,0.0,3800 W MADISON ST,IL,CHICAGO,60624
0,0.0,3303 W 26TH ST,IL,CHICAGO,60623
1,3.99,1320 E 47TH ST,IL,CHICAGO,60653
